X_coordinate,Y_coordinate,state,code,name,zone,address
76.372189,10.133064,,CWR,CHOVVARA,,
88.263326,27.038151,West Bengal,DJ,Darjeeling,NFR,"Darjeeling, West Bengal"
76.356508,10.108163,,AWY,ALUVA,,
76.326956,10.061818,,KLMR,KALAMASSERY,,
76.298271,10.034338,,IPL,EDAPPALLY,,
76.2861,9.991582,,ERN,ERNAKULAM TOWN,,
76.897155,10.898788,,ETMD,ETTIMADAI,,
76.8376135147,10.8471810329,,WRA,WALAYAR,,
76.276917865,30.3379133215,Punjab,DBN,Dhablan,NR,"Gurudwara Ishar Darbar Rd, Punjab"
81.488923,18.92798,Chhattisgarh,DBF,Dabpal,?,"Dabpal, Chhattisgarh"
92.481039,26.455873,Assam,DBZ,Dhing Bazar,NFR,"Mathaouri Rd, Assam"
76.801793,10.837165,,CLMD,CHULLIMADA,,
76.693457,10.815731,,KTKU,KOTTEKAD,,
73.65658,28.417832,Rajasthan,DLC,DALMERA,NWR,"Bikaner, Rajasthan"
76.307657,9.933729,,TNU,TIRUNETTUR,,
76.3116,9.906723,,KUMM,KUMBALAM,,
76.302833,9.8791031,,AROR,AROOR HALT,,
76.302391,9.820288,,EZP,EZHUPPUNNA,,
76.309979,9.772809,,TUVR,TURAVUR,,
76.289859,9.97806,,ERSC,ERNAKULAM JN. C,,
82.507393,18.945173,Orissa,DIR,DHANAPUR ORISSA,ECoR,"National Highway 43, Orissa"
79.476473,28.64478,Uttar Pradesh,DRN,DEORANIAN,NER,"SH 37, Uttar Pradesh"
86.134476,25.425296,Bihar,BGS,BEGU SARAI,ECR,"06243-222853, Bihar"
79.96972,23.846381,,BQQ,BAKHLETA,,
74.6559544983,25.9027951891,Rajasthan,GBP,GULABPURA,NWR,"Gulabpura, Rajasthan"
80.140267,23.904168,,REI,RITHI,,
78.7596338837,28.83865785,,MBWC,MORADABAD WEST,,
78.7355954285,28.8719872056,,HRH,HARTHALA,,
78.439153,26.480421,Madhya Pradesh,GOA,GOHAD ROAD,NCR,"Bhind, Madhya Pradesh"
78.1327540271,19.4655174389,Maharashtra,DHNR,DHANORA DECCAN,SCR,"Kinwat, Maharashtra"
81.828816,25.446241,,ALD,ALLAHABAD JN,,
78.653919,27.571173,Uttar Pradesh,ETAH,Etah,NCR,"Etah, Uttar Pradesh"
72.568831,23.02676,Gujarat,GG,GANDHIGRAM,WR,"Ahmedabad, Gujarat"
75.7886717,21.0472812,,BSL,BHUSAVAL JN,,
73.077841,19.211345,,KOPR,KOPAR ROAD,,
88.087286,23.71822,West Bengal,GGLE,GANGATIKURI,ER,"State Highway 6, West Bengal"
